tract_id,STATEFP,COUNTYFP,TRACTCE,POPULATION,latitude,longitude
36061018300,36,061,018300,8534,40.79508,-73.972811
36061018400,36,061,018400,7820,40.799614,-73.945103
36061018500,36,061,018500,5243,40.794353,-73.966268
36061018600,36,061,018600,5127,40.799294,-73.949888
36061018700,36,061,018700,9383,40.797545,-73.970821
36061018800,36,061,018800,5697,40.797685,-73.937427
36061018900,36,061,018900,11556,40.797231,-73.963914
36061019000,36,061,019000,3679,40.801875,-73.947715
36061019100,36,061,019100,9005,40.800065,-73.969088
36061019200,36,061,019200,3971,40.798664,-73.931356
36061019300,36,061,019300,8736,40.800364,-73.961603
36061019400,36,061,019400,6978,40.800664,-73.93516
36061019500,36,061,019500,7828,40.80261,-73.9669
36061019600,36,061,019600,4031,40.802617,-73.939172
36061019701,36,061,019701,1278,40.80339,-73.961922
36061019702,36,061,019702,2601,40.802043,-73.958055
36061019800,36,061,019800,2370,40.804296,-73.941673
36061019900,36,061,019900,9598,40.805144,-73.964926
36061020000,36,061,020000,2855,40.805452,-73.945536
36061020101,36,061,020101,1863,40.80662,-73.960006
36061020102,36,061,020102,4077,40.805002,-73.95665
36061020300,36,061,020300,3874,40.808705,-73.961448
36061020500,36,061,020500,5023,40.808788,-73.964744
36061020600,36,061,020600,3628,40.808449,-73.938723
36061020701,36,061,020701,3035,40.808955,-73.95853
36061020800,36,061,020800,5255,40.809665,-73.942026
36061020901,36,061,020901,3665,40.811527,-73.955198
36061021000,36,061,021000,6748,40.812536,-73.936171
36061021100,36,061,021100,10529,40.813769,-73.959427
36061021200,36,061,021200,4899,40.813855,-73.93893
36061021303,36,061,021303,5583,40.81407,-73.952781
36061021400,36,061,021400,3075,40.816927,-73.936764
36061021500,36,061,021500,3856,40.813848,-73.949223
36061021600,36,061,021600,8567,40.800729,-73.954418
36061021703,36,061,021703,545,40.816378,-73.951168
36061021800,36,061,021800,6530,40.80331,-73.952652
36061021900,36,061,021900,5696,40.817049,-73.955436
36061022000,36,061,022000,6114,40.805899,-73.951014
36061022102,36,061,022102,2382,40.818869,-73.946239
36061022200,36,061,022200,3293,40.807821,-73.94943
36061022301,36,061,022301,7258,40.820553,-73.954623
36061022302,36,061,022302,3101,40.820021,-73.956923
36061022400,36,061,022400,7346,40.811212,-73.946934
36061022500,36,061,022500,9895,40.823075,-73.952558
36061022600,36,061,022600,4890,40.813483,-73.944671
36061022700,36,061,022700,5387,40.82279,-73.946252
36061022800,36,061,022800,5961,40.815911,-73.942844
36061022900,36,061,022900,7975,40.825378,-73.950377
36061023000,36,061,023000,9111,40.818641,-73.941172
36061023100,36,061,023100,6273,40.825965,-73.944419
36061023200,36,061,023200,8061,40.820977,-73.939747
36061023300,36,061,023300,6368,40.828157,-73.948297
36061023400,36,061,023400,5112,40.824076,-73.93904
36061023501,36,061,023501,6720,40.829228,-73.941999
36061023502,36,061,023502,2206,40.827659,-73.939079
36061023600,36,061,023600,9907,40.824091,-73.936433
36061023700,36,061,023700,6792,40.830402,-73.947148
36061023802,36,061,023802,4791,40.767233,-73.945428
36061023803,36,061,023803,3625,40.762033,-73.949651
36061023804,36,061,023804,3306,40.758429,-73.953245
36061023900,36,061,023900,2675,40.832563,-73.940899
36061024000,36,061,024000,1302,40.786479,-73.929116
36061024100,36,061,024100,7612,40.833889,-73.94523
36061024200,36,061,024200,4448,40.806179,-73.935809
36061024301,36,061,024301,3993,40.836004,-73.938803
36061024302,36,061,024302,7237,40.831779,-73.937356
36061024500,36,061,024500,13385,40.836616,-73.942094
36061024700,36,061,024700,6521,40.837264,-73.945623
36061024900,36,061,024900,1084,40.838737,-73.936903
36061025100,36,061,025100,2287,40.839975,-73.93842
36061025300,36,061,025300,10081,40.842918,-73.938115
36061025500,36,061,025500,5697,40.844902,-73.942114
36061025700,36,061,025700,4270,40.807858,-73.954483
36061025900,36,061,025900,4029,40.823342,-73.94226
36061026100,36,061,026100,10733,40.845823,-73.934543
36061026300,36,061,026300,7969,40.846957,-73.937175
36061026500,36,061,026500,6850,40.849741,-73.939232
36061026700,36,061,026700,2083,40.850686,-73.928362
36061026900,36,061,026900,7848,40.850972,-73.930794
36061027100,36,061,027100,7623,40.851986,-73.934223
36061027300,36,061,027300,6519,40.853271,-73.937673
36061027500,36,061,027500,3063,40.854379,-73.939329
36061027700,36,061,027700,6423,40.855118,-73.928156
36061027900,36,061,027900,10019,40.855981,-73.931196
36061028100,36,061,028100,3108,40.856952,-73.934669
36061028300,36,061,028300,7740,40.858694,-73.92944
36061028500,36,061,028500,6794,40.861646,-73.92784
36061028700,36,061,028700,3772,40.864318,-73.928492
36061029100,36,061,029100,10509,40.864073,-73.923646
36061029300,36,061,029300,8035,40.865904,-73.920069
36061029500,36,061,029500,7039,40.867613,-73.924893
36061029700,36,061,029700,16,40.87201,-73.922996
36061029900,36,061,029900,3598,40.861506,-73.921634
36061030300,36,061,030300,3691,40.869297,-73.918412
36061030700,36,061,030700,3427,40.871465,-73.917059
36061030900,36,061,030900,8594,40.875708,-73.910087
36061031100,36,061,031100,12,40.84494,-73.931389
36061031703,36,061,031703,5847,40.716813,-74.015225
36061031704,36,061,031704,10422,40.709061,-74.017046
36061031900,36,061,031900,3,40.702814,-74.014758
